ResNet_VDLF_Mean_Diff,EPOCHS,BATCH_SIZE,VGG16_Accuracy,VGG16_Precision,VGG16_Recall,VGG16_F1,ResNet_Accuracy,ResNet_Precision,ResNet_Recall,ResNet_F1,VDLF_Accuracy,VDLF_Precision,VDLF_Recall,VDLF_F1
0.2813,240,1024,43.8600,45.2305,43.8600,43.3891,54.3100,54.9215,54.3100,54.0636,54.6000,55.0426,54.6000,54.4877
0.0491,260,1024,45.7200,46.4784,45.7200,45.0952,54.9700,55.4517,54.9700,54.7599,55.1700,55.1994,55.1700,54.8087
-0.7070,280,1024,47.0400,47.7304,47.0400,46.5408,55.9100,55.9838,55.9100,55.5935,55.1800,55.2568,55.1800,54.9525
-1.0565,300,1024,46.2100,46.9768,46.2100,45.7052,55.2600,55.6085,55.2600,54.9783,54.2300,54.4999,54.2300,53.9210
0.4713,320,1024,44.5200,46.5457,44.5200,44.4104,55.2700,55.5761,55.2700,55.0884,55.7800,55.9530,55.7800,55.5767
0.5823,340,1024,47.1600,47.9138,47.1600,46.8941,55.5900,55.7521,55.5900,55.3215,56.1500,56.3075,56.1500,55.9753
-0.3267,360,1024,46.5600,47.1380,46.5600,46.1849,55.9300,56.0319,55.9300,55.6159,55.6900,55.4649,55.6900,55.3562
-0.5036,380,1024,47.3600,47.7266,47.3600,47.0114,56.0000,55.9311,56.0000,55.6774,55.4400,55.4965,55.4400,55.2176
-0.1786,400,1024,47.0600,47.6838,47.0600,46.7594,55.8400,55.9666,55.8400,55.6197,55.7100,55.6826,55.7100,55.4494
0.8621,20,2048,19.6300,20.9323,19.6300,17.8509,33.5000,34.3366,33.5000,32.0534,34.3200,35.0847,34.3200,33.1139
-0.3842,40,2048,25.5500,26.3625,25.5500,23.6636,44.6900,47.9637,44.6900,44.2806,45.0000,45.6910,45.0000,44.3967
-0.4604,60,2048,29.4400,30.0414,29.4400,28.0543,48.6900,50.9894,48.6900,48.2655,48.5400,49.6309,48.5400,48.0822
1.3165,80,2048,29.1600,32.7105,29.1600,28.3732,49.7100,51.0795,49.7100,49.2217,51.1300,51.8977,51.1300,50.8297
-0.0310,100,2048,32.0300,32.7260,32.0300,30.7550,50.2900,51.5736,50.2900,49.9682,50.4400,51.0382,50.4400,50.0795
-0.3631,120,2048,33.9100,36.3885,33.9100,33.0016,51.3900,52.2690,51.3900,51.0731,51.0100,51.8759,51.0100,50.7737
-0.5685,140,2048,36.3600,37.4196,36.3600,35.2346,51.4300,53.0485,51.4300,51.5603,51.3000,51.5880,51.3000,51.0070
-0.1669,160,2048,39.3900,39.4101,39.3900,38.3129,51.5100,52.4107,51.5100,51.3312,51.4000,52.0298,51.4000,51.2645
-0.3515,180,2048,39.3400,40.9013,39.3400,38.4670,52.4200,53.0458,52.4200,52.1231,52.1800,52.3857,52.1800,51.8570
-0.4051,200,2048,38.6900,41.5100,38.6900,38.1786,52.8100,53.4701,52.8100,52.4800,52.4400,52.7910,52.4400,52.2789
-1.5885,220,2048,38.7100,40.4971,38.7100,37.7236,53.8700,54.0522,53.8700,53.5732,52.2000,52.5678,52.2000,52.0437
-0.2692,240,2048,41.4200,42.7975,41.4200,40.4659,53.2100,53.2749,53.2100,52.7230,52.8800,52.9988,52.8800,52.5822
-1.3653,260,2048,42.5200,43.9845,42.5200,41.6901,53.9600,54.1138,53.9600,53.5934,52.6000,52.6185,52.6000,52.3477
-0.6131,280,2048,43.0200,44.0948,43.0200,42.1029,53.3700,53.3785,53.3700,52.9783,52.6800,52.8394,52.6800,52.4449
-1.0733,300,2048,42.9600,44.5159,42.9600,42.1474,53.7100,53.9142,53.7100,53.3813,52.7400,52.5634,52.7400,52.3787
-1.5409,320,2048,43.9900,45.5902,43.9900,43.4701,54.6700,54.7653,54.6700,54.3596,53.1500,53.1585,53.1500,52.8427
-0.9087,340,2048,45.5000,45.7525,45.5000,44.6263,53.9500,54.0625,53.9500,53.6451,53.0100,53.1741,53.0100,52.7787
-1.0926,360,2048,46.8100,47.1483,46.8100,46.2662,54.0500,54.1963,54.0500,53.6370,52.9400,52.9625,52.9400,52.7202
-1.5727,380,2048,46.6100,46.8514,46.6100,46.1368,54.5200,54.4234,54.5200,54.1229,52.9100,52.8523,52.9100,52.6232
-1.7533,400,2048,46.3700,46.1412,46.3700,45.4289,54.6800,54.7379,54.6800,54.3661,52.8800,53.0221,52.8800,52.6689
-23.8096,20,4096,16.8200,16.8704,16.8200,14.4321,26.5000,25.8206,26.5000,23.8309,2.9000,0.8974,2.9000,0.7156
0.4240,40,4096,22.2200,22.1871,22.2200,20.1801,40.2800,42.5339,40.2800,39.2175,40.9400,41.8503,40.9400,40.2772
0.5105,60,4096,24.8000,26.3234,24.8000,23.2444,45.7200,47.0900,45.7200,45.0361,46.4600,46.7944,46.4600,45.8939
1.9407,80,4096,27.0900,29.8422,27.0900,25.7816,46.3500,48.7299,46.3500,45.7280,48.5400,49.4545,48.5400,48.3863
0.7150,100,4096,30.6500,31.6535,30.6500,29.2572,47.9200,49.7359,47.9200,47.5386,48.9000,49.6433,48.9000,48.5314
-0.9438,120,4096,31.8600,32.1934,31.8600,30.4407,49.7900,50.9713,49.7900,49.6302,49.0500,49.6201,49.0500,48.6864
-0.3369,140,4096,32.7000,33.9631,32.7000,31.4826,49.6300,50.7864,49.6300,49.3424,49.4500,49.9032,49.4500,49.2378
