ResNet_VDLF_Mean_Diff,EPOCHS,BATCH_SIZE,VGG16_Accuracy,VGG16_Precision,VGG16_Recall,VGG16_F1,ResNet_Accuracy,ResNet_Precision,ResNet_Recall,ResNet_F1,VDLF_Accuracy,VDLF_Precision,VDLF_Recall,VDLF_F1
-0.4959,160,128,47.7000,49.2001,47.7000,47.5522,58.3100,58.7583,58.3100,58.2393,57.7900,58.2970,57.7900,57.7568
0.1775,180,128,49.0900,50.0471,49.0900,48.9751,58.0800,58.5847,58.0800,58.0493,58.2800,58.6886,58.2800,58.2553
-0.1862,200,128,48.5400,49.8423,48.5400,48.5031,58.0900,58.4572,58.0900,57.9561,57.8300,58.3783,57.8300,57.8103
-0.8049,20,128,25.0400,25.8424,25.0400,22.9797,42.4000,43.8607,42.4000,41.4103,42.1300,41.8058,42.1300,40.7855
1.6274,40,128,33.0400,35.0802,33.0400,31.8753,49.6900,51.7670,49.6900,49.2439,51.7900,52.1174,51.7900,51.2032
1.3868,60,128,37.0100,39.1461,37.0100,36.0136,53.4200,54.4327,53.4200,53.3695,54.8900,55.6827,54.8900,54.7267
1.9883,80,128,42.6800,44.5564,42.6800,42.1286,54.1900,54.7320,54.1900,53.8767,56.0500,56.7345,56.0500,56.1073
2.2269,100,128,45.4000,47.5771,45.4000,45.2102,54.0500,55.5467,54.0500,54.1617,56.5500,57.1312,56.5500,56.4847
1.8010,120,128,48.4000,49.3356,48.4000,47.9308,55.1500,55.5893,55.1500,54.9333,56.9200,57.3805,56.9200,56.8063
2.9116,140,128,48.3200,50.0836,48.3200,48.2361,54.6700,55.2362,54.6700,54.4867,57.5700,58.0178,57.5700,57.5516
2.5291,160,128,47.7000,49.2001,47.7000,47.5522,55.6500,55.8287,55.6500,55.4017,58.0300,58.5535,58.0300,58.0335
2.2673,180,128,49.0900,50.0471,49.0900,48.9751,56.1600,56.3888,56.1600,55.9258,58.3400,58.7209,58.3400,58.3030
2.3149,200,128,48.5400,49.8423,48.5400,48.5031,55.6400,55.7452,55.6400,55.3193,57.8000,58.2094,57.8000,57.7948
